"filename", "language", "Python", "sqlite3-editor-database", "MS SQL", "comment", "blank", "total"
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\business\models.py", "Python", 19, 0, 0, 11, 2, 32
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\constants.py", "Python", 11, 0, 0, 0, 3, 14
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\data\connection.py", "Python", 14, 0, 0, 0, 3, 17
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\data\customers_db.py", "Python", 14, 0, 0, 0, 5, 19
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\data\customers_schema.py", "Python", 12, 0, 0, 1, 2, 15
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\data\products_db.py", "Python", 17, 0, 0, 0, 8, 25
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\data\products_schema.py", "Python", 16, 0, 0, 1, 1, 18
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\data\sales_order_db.py", "Python", 49, 0, 0, 3, 7, 59
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\data\sales_order_schema.py", "Python", 27, 0, 0, 1, 4, 32
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\data\sales_report_db.py", "Python", 26, 0, 0, 0, 3, 29
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\inventory.sqlite", "sqlite3-editor-database", 0, 66, 0, 0, 0, 66
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\main.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\recreate_db\schema.sql", "MS SQL", 0, 0, 34, 6, 7, 47
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui\add_forms.py", "Python", -27, 0, 0, 0, -5, -32
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui\dashboard.py", "Python", -124, 0, 0, -47, -22, -193
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui\edit_forms.py", "Python", -60, 0, 0, 0, -13, -73
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui\forms.py", "Python", -27, 0, 0, -3, -12, -42
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui\import_forms.py", "Python", 6, 0, 0, 1, 1, 8
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui\main_window.py", "Python", 0, 0, 0, -3, -2, -5
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui\sales_order_form.py", "Python", 156, 0, 0, 6, 49, 211
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui\sales_order_history.py", "Python", 84, 0, 0, 29, 19, 132
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui_pages\customer_page.py", "Python", 25, 0, 0, 3, 9, 37
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui_pages\products_page.py", "Python", 56, 0, 0, 1, 15, 72
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui_pages\sales_order_page.py", "Python", 9, 0, 0, 0, 2, 11
"c:\Users\paulk\Dropbox\Excel Macro Mastery\YouTube\Associated files\2026\2026-06-20 Python Inventory\Code Paul\ui_pages\sales_report_page.py", "Python", 58, 0, 0, 1, 18, 77
"Total", "-", 361, 66, 34, 11, 105, 577
